Nombre,Biografía
Ricky Martin,"Ricky Martin es un cantante, actor y autor puertorriqueño, conocido como el Rey del pop latino. Nació en San Juan y es conocido por su versatilidad musical, con su discografía que abarca los géneros pop latino, pop, dance, reguetón y salsa."
Thalía,"Thalía es una cantante, actriz y empresaria mexicana. Nació en ciudad de mexico y es considerada una de las artistas latinas más exitosas de todos los tiempos, gracias a sus clasicas canciones de pop y blues."
Romeo Santos,"Romeo Santos, conocido como el Rey de la bachata, es un cantante, productor discográfico, compositor, actor y artista estadounidense de ascendencia dominicana. Nació en Nueva York. Saltó a la fama como miembro del grupo Aventura y luego continuó su carrera en solitario."
J Balvin,J Balvin es un cantante y compositor colombiano de reguetón y música urbana. Nació en Medellín. Ha colaborado con varios artistas internacionales y es conocido por éxitos en inglés y en español.
Daddy Yankee,"Daddy Yankee es un  cantante, compositor, empresario, productor discográfico, productor ejecutivo​ y filántropo puertorriqueño, considerado uno de los pioneros del reguetón. Nació en San Juan y es conocido por ayudar a la expansión internacional del reguetón."
Paulina Rubio,"Paulina Rubio es una cantante, compositora, actriz, presentadora de televisión, modelo y empresaria mexicana, conocida como la Chica Dorada. Nació en ciudad de mexico. Ha lanzado varios álbumes exitosos de pop y ranchera, siendo una figura destacada en la música latina."
Gloria Estefan,"Gloria Estefan es una cantante, compositora y actriz cubano-estadounidense. Nació en la habana y es conocida como la Reina del pop latino y ha vendido más de 100 millones de discos en todo el mundo."
Julieta Venegas,"Julieta Venegas es una cantante y compositora mexicana de rock alternativo y pop. Nació en Long Beach, estados unidos. Su carrera musical, que comenzó y tuvo su auge inicial en México, ha logrado un notable reconocimiento en el extranjero, lo que la ha convertido en una de las artistas de origen latino que han alcanzado renombre a nivel mundial."
Calle 13,"Calle 13 fue Calle 13 fue una agrupación musical originaria de Puerto Rico y dedicada al rap fusión. Este grupo fue creado y conformado por los hermanos puertorriqueños Residente (René Pérez Joglar), Visitante (Eduardo Cabra Martínez) e ILe (Ileana Cabra Joglar). Residente es cantante, compositor y productor discográfico, mientras que Visitante es compositor, arreglista, director musical y multiinstrumentista de piano, melódica, guitarras eléctricas, entre otros. ILe, la media hermana de ambos, es la voz femenina del grupo. Son conocidos por sus letras políticas y sociales, así como por su fusión de géneros musicales como el hiphop y el reguetón."
Camilo,"Camilo es un cantante y compositor colombiano, conocido por sus éxitos en los géneros de pop latino y urbano. Nació en Medellín. Ha colaborado con varios artistas y es conocido por canciones como «Tutu» y «Vida de Rico»."
